linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
183,150.000 €,44.87321308344,13.849110893104,Pula,U stambenoj zgradi,Jednoetažni,4-sobni,4.,85,https://www.njuskalo.hr/nekretnine/pula-centar-stan-studio-apartman-parkingom-oglas-41386950,2,
184,274.000 €,,,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,75,https://www.njuskalo.hr/nekretnine/stan-novogradnji-tar-vabriga-oglas-41795985,,
185,265.000 €,,,Poreč,U stambenoj zgradi,Jednoetažni,4-sobni,2.,90,https://www.njuskalo.hr/nekretnine/stan-2-katu-700m-mora-okolica-poreca-oglas-41784868,,
186,340.264 €,,,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,1.,91,https://www.njuskalo.hr/nekretnine/stan-1-katu-dvije-spavace-sobe-porec-oglas-41525991,,
187,300.000 €,45.085924985853,13.631035387471,Rovinj,U stambenoj zgradi,Jednoetažni,1-sobni,4.,41,https://www.njuskalo.hr/nekretnine/stan-rovinj-41.00-m2-oglas-41568127,1,
188,199.220 €,,,Medulin,U stambenoj zgradi,Jednoetažni,3-sobni,2.,68,https://www.njuskalo.hr/nekretnine/istra-medulin-apartman-izgradnji-68.65m2-2-kat-oglas-39817488,,
189,370.000 €,,,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,3.,108,https://www.njuskalo.hr/nekretnine/porec-stan-108-m2-oglas-29141887,,
190,197.000 €,45.434521565306,13.522868903955,Umag,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,58,https://www.njuskalo.hr/nekretnine/apartman-zambratiji-umag-blizina-plaze-pogled-more-oglas-40955613,1,
191,176.300 €,44.823429567816,13.934373222742,Medulin,U stambenoj zgradi,Jednoetažni,3-sobni,1.,63,https://www.njuskalo.hr/nekretnine/medulin-stan-63m2-top-lokacija-700m-mora-oglas-41147756,1,
192,162.000 €,44.816009319194,13.972603722321,Ližnjan,U stambenoj zgradi,Jednoetažni,3-sobni,1.,61,https://www.njuskalo.hr/nekretnine/stan-novogradnja-liznjan-62m2-pogled-more-atraktivno-oglas-34535813,1,1
193,149.700 €,,,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,53,https://www.njuskalo.hr/nekretnine/pula-stan-53.46m2-oglas-41518052,1,
