linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
33,140.000,77,,,Krapinsko-zagorska,Veliko Trgovišće,Veliko Trgovišće,U stambenoj zgradi,Jednoetažni,3-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-77.86m2-veliko-trgovisce-novogradnja-useljiv-oglas-42216868
34,140.000,77,,,Krapinsko-zagorska,Veliko Trgovišće,Veliko Trgovišće,U stambenoj zgradi,Jednoetažni,3-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-77.86m2-veliko-trgovisce-novogradnja-oglas-42216865
35,140.000,77,,,Krapinsko-zagorska,Veliko Trgovišće,Veliko Trgovišće,U stambenoj zgradi,Jednoetažni,3-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-77.86m2-veliko-trgovisce-novogradnja-oglas-42216864
36,150.000,82,46.019561695311914,15.83795540643134,Krapinsko-zagorska,Veliko Trgovišće,Družilovec,U kući,Jednoetažni,4-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-druzilovec-82.00-m2-oglas-41202336
37,200.000,90,46.0236154274615,15.90700728171763,Krapinsko-zagorska,Zabok,Zabok,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,,https://www.njuskalo.hr/nekretnine/stan-zabok-90.00-m2-novogradnja-oglas-41510672
38,145.000,61,46.027367018023,15.903808575992,Krapinsko-zagorska,Zabok,Zabok,U stambenoj zgradi,Jednoetažni,2-sobni,1,,,https://www.njuskalo.hr/nekretnine/stan-zabok-61.00-m2-novogradnja-oglas-41510631
39,149.000,62,46.027367018023,15.903808575992,Krapinsko-zagorska,Zabok,Zabok,U stambenoj zgradi,Jednoetažni,3-sobni,1,,,https://www.njuskalo.hr/nekretnine/stan-zabok-62.00-m2-novogradnja-oglas-41510590
40,140.000,77,45.997108968276,15.849038139104,Krapinsko-zagorska,Veliko Trgovišće,Veliko Trgovišće,U stambenoj zgradi,Jednoetažni,3-sobni,1,,,https://www.njuskalo.hr/nekretnine/zgrada-b-stan-veliko-trgovisce-81.62-m2-prizemlje-iii-kat-oglas-41473694
41,140.000,77,45.997108968276,15.849038139104,Krapinsko-zagorska,Veliko Trgovišće,Veliko Trgovišće,U stambenoj zgradi,Višeetažni,3-sobni,1,1,,https://www.njuskalo.hr/nekretnine/stan-veliko-trgovisce-68.00-m2-novogradnja-oglas-39691177
42,70.000,32,45.992482012596,15.914758443832,Krapinsko-zagorska,Oroslavje,Oroslavje,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-oroslavje-andrije-gredicaka-3h-32.00-m2-oglas-33954524
43,210.000,118,46.162754325914,15.869472731005,Krapinsko-zagorska,Krapina,Centar,U kući,Jednoetažni,5+ sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-kuci-dvoriste-centru-krapine-369.41m2-oglas-37795165
44,45.000,54,46.121454095,16.19445525,Krapinsko-zagorska,Budinščina,Budinšćina,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-budinscina-54.15-m2-oglas-42184644
45,126.000,69,46.15497315663,15.760173396364,Krapinsko-zagorska,Pregrada,Pregrada,U stambenoj zgradi,Jednoetažni,3-sobni,,,Potkrovlje,https://www.njuskalo.hr/nekretnine/stan-pregrada-69.39m2-oglas-41694940
46,145.000,80,46.157046790435,15.759432303529,Krapinsko-zagorska,Pregrada,Pregrada,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-pregrada-80.17-m2-oglas-41694943
47,137.000,78,46.15486916282,15.75731387813,Krapinsko-zagorska,Pregrada,Pregrada,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-oglas-41694942
48,71.000,57,46.054840230182,16.179468482252,Krapinsko-zagorska,Konjščina,Konjščina,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/konjscina-stan-57-m2-1-kat-oglas-41729750
49,135.000,78,46.148283815293,15.765587732298,Krapinsko-zagorska,Pregrada,Pregrada,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-novogradnja-oglas-39474358
50,123.000,69,46.148283815293,15.765587732298,Krapinsko-zagorska,Pregrada,Pregrada,U stambenoj zgradi,Jednoetažni,3-sobni,,,Potkrovlje,https://www.njuskalo.hr/nekretnine/stan-pregrada-69.39-m2-novogradnja-oglas-39474319
51,142.000,80,46.148283815293,15.765587732298,Krapinsko-zagorska,Pregrada,Pregrada,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-pregrada-80.17-m2-novogradnja-oglas-39473673
52,95.000,68,45.974047782026,15.932637371447,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-52.00-m2-oglas-41384497
53,1.800,80,45.96202,15.929884,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,U stambenoj zgradi,Jednoetažni,4-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-80-m2-novogradnja-oglas-42124846
54,65.000,36,45.995889451904,15.919004799744,Krapinsko-zagorska,Oroslavje,Oroslavje,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Suteren,https://www.njuskalo.hr/nekretnine/novogradnja-moguca-kupnja-preko-apn-a-oglas-40183841
55,295.000,153,45.992157326957,15.914952197112,Krapinsko-zagorska,Oroslavje,Oroslavje,U stambenoj zgradi,Dvoetažni,3-sobni,2,2,2.,https://www.njuskalo.hr/nekretnine/stan-oroslavje-160.00-m2-dvoetazni-open-space-privatna-garaza-oglas-39997765
