linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
28,103.750,57,,,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/vinkovci-stan-58-m2-centar-oglas-42145504
29,190.000,120,,,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-120m2-centru-vinkovaca-oglas-42137003
30,55.000,52,45.35325367327488,18.999563825593082,Vukovarsko-srijemska,Vukovar,Olajnica,U stambenoj zgradi,Jednoetažni,2-sobni,,,4.,https://www.njuskalo.hr/nekretnine/stan-vukovar-52.00-m2-oglas-42114957
31,97.000,67,45.35483663791901,19.007271743699903,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/vukovar-centar-2.5-soban-luksuzni-stan-67-m2-prodaja-oglas-38062880
32,113.000,65,45.089066,18.740004,Vukovarsko-srijemska,Županja,Županja,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/prodajem-namjesten-trosoban-stan-zupanji-65-m-oglas-38251853
33,39.900,27,45.025823310066,19.043980928652,Vukovarsko-srijemska,Nijemci,Lipovac,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/beograd-stan-oglas-42013736
34,162.030,98,45.353955547426,18.992564912725,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,,https://www.njuskalo.hr/nekretnine/stan-centru-vukovara-oglas-40003601
35,147.668,95,45.353955547426,18.992564912725,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,,https://www.njuskalo.hr/nekretnine/stan-vukovar-89.00-m2-oglas-39995112
36,193.212,118,45.353955547426,18.992564912725,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,2,,,https://www.njuskalo.hr/nekretnine/sta-centru-vukovara-122.00-m2-oglas-40003733
37,64.000,64,45.290968251891,18.805034009802,Vukovarsko-srijemska,Vinkovci,Centar,U kući,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/vinkovci-dvorisni-stan-oglas-40482692
38,162.030,98,,,Vukovarsko-srijemska,Vukovar,Centar,U kući,Jednoetažni,4-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-81.53-m2-urbanoj-vili-vukovar-oglas-41942609
39,191.680,119,,,Vukovarsko-srijemska,Vukovar,Centar,U kući,Jednoetažni,4-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-95.44-m2-urbanoj-vili-vukovar-oglas-41942608
40,147.668,95,,,Vukovarsko-srijemska,Vukovar,Centar,U kući,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-82.23-m2-urbanoj-vili-vukovar-oglas-41942607
41,59.000,56,45.377035736718,18.96057844162,Vukovarsko-srijemska,Vukovar,Borovo Naselje,U kući,Dvoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-vukovar-56.24-m2-borovo-naselje-oglas-40690780
42,98.000,75,,,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/ekskluzivno-stan-odlicnoj-lokaciji-centru-grada-oglas-41109319
43,93.000,93,45.071925204375134,18.695677532549364,Vukovarsko-srijemska,Županja,Županja,U stambenoj zgradi,Jednoetažni,4-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-zupanja-centar-93.77-m2-prodaja-oglas-41681794
45,49.000,48,,,Vukovarsko-srijemska,Vinkovci,Centar,U kući,Jednoetažni,4-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/vinkovci-centar-dvorisni-stan-oglas-40906948
46,85.000,55,45.288980439974,18.797564506531,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-centar-pogledom-bosut-55.00-m2-novogradnja-oglas-37907745
47,212.900,1,45.189735065768,18.820085805698,Vukovarsko-srijemska,Privlaka,Privlaka,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/zadar-privlaka-moderan-stan-novogradnja-oglas-41309343
48,80.000,66,45.29387100313372,18.804780841020317,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-66.00-m2-oglas-41210662
49,86.000,72,45.352688098971,18.993655443192,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/prodajem-stan-olajnici-ulaz-13-stan-prvom-katu-vukovar-centar-oglas-40370872
50,70.000,70,45.299133,18.80802,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/stan-70-m2-centar-oglas-40286152
51,75.000,62,45.303275043331,18.804997284435,Vukovarsko-srijemska,Vinkovci,Nazorov Blok,U stambenoj zgradi,Jednoetažni,3-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/prodajem-stan-vinkovcima-oglas-39726581
52,46.000,35,45.2974546,18.8160926,Vukovarsko-srijemska,Vinkovci,Zagrebački Blok,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-35.50-m2-oglas-39482617
