linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
6738,130.000 €,45.325174744479,14.480058336414,Rijeka,U stambenoj zgradi,Jednoetažni,2-sobni,,42,https://www.njuskalo.hr/nekretnine/rijeka-gornja-vezica-42.54m2-namjesten-stan-lodom-oglas-41911680,,
6739,280.000 €,45.293256169053,14.271716105128,Lovran,U stambenoj zgradi,Jednoetažni,3-sobni,,67,https://www.njuskalo.hr/nekretnine/lovran-67.82m2-2s-db-loda-parkirno-mjesto-oglas-41911678,,
6740,139.000 €,45.362853242871,14.412696843127,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,45,https://www.njuskalo.hr/nekretnine/rijeka-skurinje-2s-db-loda-oglas-41911677,,
6741,169.000 €,45.354192124877,14.404348398553,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,1.,58,https://www.njuskalo.hr/nekretnine/rijeka-pehlin-3skl-namjesten-stan-vrtom-koristenje-oglas-41911676,,
6742,295.000 €,45.352492728876,14.402160230556,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,79,https://www.njuskalo.hr/nekretnine/rijeka-hosti-71.67m2-2s-db-terasa-oglas-41911674,,
6743,244.000 €,45.355910503113,14.366937082612,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,62,https://www.njuskalo.hr/nekretnine/rijeka-srdoci-2s-db-2-balkona-garaza-oglas-41509019,,
6744,140.500 €,45.341787955512,14.404660186668,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,2.,54,https://www.njuskalo.hr/nekretnine/rijeka-krnjevo-2s-db-pogledom-more-oglas-41309101,1,
6745,300.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,4-sobni,,134,https://www.njuskalo.hr/nekretnine/rijeka-centar-134.62m2-4-sobni-stan-oglas-41302766,,
6746,350.000 €,45.203897735602,14.668810244573,Crikvenica,U kući,Višeetažni,5+ sobni,,101,https://www.njuskalo.hr/nekretnine/crikvenica-dramalj-viseetazni-stan-4s-db-2-balkona-oglas-41668693,,
6747,420.000 €,45.22511394304,14.634422406724,Crikvenica,U kući,Dvoetažni,3-sobni,,104,https://www.njuskalo.hr/nekretnine/jadranovo-dvoetazni-stan-104.28m2-2-balkona-panoramski-pogled-oglas-41668692,,
6748,270.000 €,45.356639919424,14.368841988317,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,1.,67,https://www.njuskalo.hr/nekretnine/rijeka-srdoci-67.70m2-2s-db-loda-oglas-41668690,,
6749,410.000 €,45.179320832315,14.705791004524,Crikvenica,U stambenoj zgradi,Jednoetažni,3-sobni,,101,https://www.njuskalo.hr/nekretnine/crikvenica-prostrani-stan-101.45m2-terase-pogled-more-oglas-41302755,,
6750,290.000 €,45.33425088448,14.303495243892,Opatija,U stambenoj zgradi,Jednoetažni,3-sobni,,86,https://www.njuskalo.hr/nekretnine/opatija-stan-86.82m2-terasa-pogled-more-oglas-41147893,,
6751,96.000 €,45.361805818436,14.496390609327,Čavle,U kući,Jednoetažni,3-sobni,1.,54,https://www.njuskalo.hr/nekretnine/cavle-etaza-kuce-samom-centru-oglas-40996660,,
6752,206.500 €,45.172270834433,14.55211837765,Omišalj,U stambenoj zgradi,Jednoetažni,2-sobni,1.,54,https://www.njuskalo.hr/nekretnine/otok-krk-njivice-54.44m2-1s-db-loda-oglas-40996659,,
6753,155.000 €,45.155406052451,14.736298593152,Crikvenica,U kući,Jednoetažni,2-sobni,,39,https://www.njuskalo.hr/nekretnine/crikvenica-selce-39m2-1s-db-balkon-pogled-more-oglas-40984327,,
6754,182.000 €,45.153440075042,14.733766704545,Crikvenica,U kući,Jednoetažni,2-sobni,,49,https://www.njuskalo.hr/nekretnine/crikvenica-selce-49.25m2-2skl-terasa-okucnica-oglas-40984326,,
6755,225.000 €,45.154405237228,14.737054992746,Crikvenica,U kući,Jednoetažni,3-sobni,,67,https://www.njuskalo.hr/nekretnine/crikvenica-selce-67.41m2-2s-db-balkon-garaza-oglas-40984325,,
6756,186.500 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,80,https://www.njuskalo.hr/nekretnine/rijeka-belveder-80.45m2-3-sobni-stan-oglas-40984320,,
6757,250.000 €,45.376850102857,14.379275588303,Viškovo,U stambenoj zgradi,Jednoetažni,4-sobni,1.,92,https://www.njuskalo.hr/nekretnine/viskovo-novogradnja-3s-db-terasa-okucnica-oglas-40787458,,
6758,250.000 €,45.376597394899,14.380073297049,Viškovo,U stambenoj zgradi,Jednoetažni,4-sobni,2.,92,https://www.njuskalo.hr/nekretnine/viskovo-novogradnja-3s-db-terasa-okucnica-oglas-40787456,,
6759,250.000 €,45.377991471135,14.378043999765,Viškovo,U stambenoj zgradi,Jednoetažni,4-sobni,2.,92,https://www.njuskalo.hr/nekretnine/viskovo-novogradnja-3s-db-terasa-okucnica-oglas-40787455,,
6760,650.000 €,45.335684513659,14.307038334063,Opatija,U stambenoj zgradi,Jednoetažni,3-sobni,,126,https://www.njuskalo.hr/nekretnine/opatija-etaza-vile-terasom-veliki-potencijal-oglas-40474049,2,
6761,240.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,2.,79,https://www.njuskalo.hr/nekretnine/bulevard-predivan-2s-db-stan-79-m2-izuzetnoj-lokaciji-oglas-34550903,1,1
6762,197.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,4.,73,https://www.njuskalo.hr/nekretnine/centar-odlican-ureden-stan-73-m2-20-m-korza-oglas-29625999,1,1
6763,630.000 €,45.028631463518,14.57719027583,Krk,U stambenoj zgradi,Dvoetažni,4-sobni,Prizemlje,112,https://www.njuskalo.hr/nekretnine/dvoetazni-apartman-bazenom-pogledom-more-oglas-41917878,2,1
6764,270.000 €,45.028349840554,14.577574197924,Krk,U stambenoj zgradi,Višeetažni,3-sobni,2.,120,https://www.njuskalo.hr/nekretnine/apartman-staroj-povijesnoj-jezgri-grada-oglas-38516597,2,2
6765,850.000 €,45.128323171581,14.529249398712,Malinska-Dubašnica,U stambenoj zgradi,Jednoetažni,4-sobni,2.,149,https://www.njuskalo.hr/nekretnine/luksuzni-penthouse-bazenom-pogledom-more-oglas-38379563,2,1
