180.000 €,43.504163967733,16.452218621728,Split,U stambenoj zgradi,Jednoetažni,1-sobni,10.,45,https://www.njuskalo.hr/nekretnine/stan-split-45.00-m2-oglas-42266387,1,
1.100.000 €,45.821920968683,15.958756504872,Gornji Grad - Medveščak,U stambenoj zgradi,Dvoetažni,5+ sobni,2.,314,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-147-m2-novogradnja-oglas-15550708,,
242.000 €,45.339619788325,14.414568006021,Rijeka,U stambenoj zgradi,Višeetažni,2-sobni,22.,88,https://www.njuskalo.hr/nekretnine/stan-rijeka-88.00-m2-oglas-41482565,2,
174.735 €,45.76275387,15.977814663201,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,58,https://www.njuskalo.hr/nekretnine/stambena-zgrada-horvatova-ulica-otok-zagreb-prodaja-oglas-41930762,1,
115.627 €,45.76275387,15.977814663201,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,37,https://www.njuskalo.hr/nekretnine/stambena-zgrada-horvatova-ulica-otok-zagreb-prodaja-oglas-41930631,1,
117.512 €,45.76275387,15.977814663201,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,1.,38,https://www.njuskalo.hr/nekretnine/stambena-zgrada-horvatova-ulica-otok-zagreb-prodaja-oglas-41042866,1,
352.939 €,45.76275387,15.977814663201,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,4-sobni,Penthouse,114,https://www.njuskalo.hr/nekretnine/stan-zagreb-sveta-klara-114.22-m2-novogradnja-oglas-41033217,2,2
215.698 €,45.76275387,15.977814663201,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,4-sobni,2.,72,https://www.njuskalo.hr/nekretnine/stambena-zgrada-horvatova-ulica-otok-zagreb-prodaja-oglas-41033042,2,2
250.000 €,44.119976,15.249728,Zadar,U kući,Jednoetažni,4-sobni,Visoko prizemlje,84,https://www.njuskalo.hr/nekretnine/prodajem-trosoban-stan-stanovima-zadru-blizinu-sc-visnjik-oglas-40511746,2,
430.976 €,45.787888148103,15.92730271105,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,127,https://www.njuskalo.hr/nekretnine/stan-zagreb-jarun-116.48-m2-novogradnja-5sobni-stan-loda-balkon-oglas-41723239,2,1
346.357 €,45.79434919088575,15.929963202279147,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,180,https://www.njuskalo.hr/nekretnine/stan-zagreb-jarun-120.00-m2-novogradnja-oglas-41658600,2,1
240.000 €,44.85446647915423,13.838425923465444,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,3.,62,https://www.njuskalo.hr/nekretnine/stan-puli-naselju-veruda-kompletno-luksuzno-renoviran-opremljen-oglas-42041969,1,2
241.000 €,45.831399641834,16.069830679749,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,1.,80,https://www.njuskalo.hr/nekretnine/stan-zagreb-ferenscica-59.00-m2-novogradnja-oglas-29005682,1,2
1 €,44.10541999638258,15.24634376768023,Zadar,U stambenoj zgradi,Jednoetažni,3-sobni,,100,https://www.njuskalo.hr/nekretnine/zadar-bulevar-stan-pogledom-more-100m2-oglas-42266253,1,1
160.000 €,44.26005,15.118593,Privlaka,U stambenoj zgradi,Jednoetažni,3-sobni,2.,65,https://www.njuskalo.hr/nekretnine/stan-privlaka-65.00-m2-novogradnja-oglas-41752679,2,
249.798 €,45.83183411378057,16.061819899558376,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,4-sobni,6.,80,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-80.00-m2-novogradnja-oglas-39999975,,
231.539 €,45.83168411585866,16.059572729057386,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,3.,74,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-74.00-m2-novogradnja-oglas-39992428,,
93.000 €,45.159090726431,18.031579980741,Slavonski Brod,U stambenoj zgradi,Jednoetažni,2-sobni,1.,60,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-60.43-m2-oglas-40752928,1,
80.000 €,45.88184,16.26961,Sveti Ivan Zelina,U stambenoj zgradi,Jednoetažni,2-sobni,1.,50,https://www.njuskalo.hr/nekretnine/prodajem-stan-blizini-zagreba-majkovec-oglas-40913456,1,1
310.000 €,,,Trnje,U stambenoj zgradi,Jednoetažni,3-sobni,4.,94,https://www.njuskalo.hr/nekretnine/borovje-94-m2-3-sobni-balkon-loda-novouredeni-oglas-40996464,,
285.000 €,,,Trnje,U stambenoj zgradi,Dvoetažni,4-sobni,4.,120,https://www.njuskalo.hr/nekretnine/vrbik-kninski-trg-120-m2-4-sobni-2-lode-dvoetazni-stan-oglas-42145782,,
399.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,110,https://www.njuskalo.hr/nekretnine/centar-kod-sheratona-110-m2-3-sobni-2-kupaonice-lux-oglas-42101880,,
180.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,61,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-61.03-m2-2-sobni-terasa-parking-oglas-42145781,,
240.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,73,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-73.41-m2-3-soban-vrt-parking-luksuzni-oglas-42145779,,
