price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
160.000 €,44.26005,15.118593,Privlaka,U stambenoj zgradi,Jednoetažni,3-sobni,2.,65,https://www.njuskalo.hr/nekretnine/stan-privlaka-65.00-m2-novogradnja-oglas-41752679,2,
249.798 €,45.83183411378057,16.061819899558376,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,4-sobni,6.,80,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-80.00-m2-novogradnja-oglas-39999975,,
231.539 €,45.83168411585866,16.059572729057386,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,3.,74,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-74.00-m2-novogradnja-oglas-39992428,,
93.000 €,45.159090726431,18.031579980741,Slavonski Brod,U stambenoj zgradi,Jednoetažni,2-sobni,1.,60,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-60.43-m2-oglas-40752928,1,
80.000 €,45.88184,16.26961,Sveti Ivan Zelina,U stambenoj zgradi,Jednoetažni,2-sobni,1.,50,https://www.njuskalo.hr/nekretnine/prodajem-stan-blizini-zagreba-majkovec-oglas-40913456,1,1
310.000 €,,,Trnje,U stambenoj zgradi,Jednoetažni,3-sobni,4.,94,https://www.njuskalo.hr/nekretnine/borovje-94-m2-3-sobni-balkon-loda-novouredeni-oglas-40996464,,
285.000 €,,,Trnje,U stambenoj zgradi,Dvoetažni,4-sobni,4.,120,https://www.njuskalo.hr/nekretnine/vrbik-kninski-trg-120-m2-4-sobni-2-lode-dvoetazni-stan-oglas-42145782,,
399.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,110,https://www.njuskalo.hr/nekretnine/centar-kod-sheratona-110-m2-3-sobni-2-kupaonice-lux-oglas-42101880,,
180.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,61,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-61.03-m2-2-sobni-terasa-parking-oglas-42145781,,
240.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,73,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-73.41-m2-3-soban-vrt-parking-luksuzni-oglas-42145779,,
210.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,5.,65,https://www.njuskalo.hr/nekretnine/laniste-jaruscica-66-m2-2-sobni-zatvorena-loda-parking-oglas-42110652,,
235.000 €,,,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,67,https://www.njuskalo.hr/nekretnine/spansko-savska-opatovina-67.25-m2-3-sobni-garaza-novogradnja-oglas-42110651,,
95.640 €,45.833552413978,17.389011629611,Virovitica,U stambenoj zgradi,Jednoetažni,2-sobni,1.,47,https://www.njuskalo.hr/nekretnine/stan-virovitica-72.00-m2-novogradnja-oglas-33322219,1,
139.232 €,45.833552413978,17.389011629611,Virovitica,U stambenoj zgradi,Jednoetažni,2-sobni,1.,73,https://www.njuskalo.hr/nekretnine/stan-virovitica-42.00-m2-novogradnja-oglas-33322485,1,
162.127 €,45.83014212868846,17.38922352573123,Virovitica,U stambenoj zgradi,Jednoetažni,3-sobni,3.,85,https://www.njuskalo.hr/nekretnine/stan-virovitica-96.00-m2-novogradnja-oglas-33322667,1,1
250.000 €,45.37267202390722,14.33963656425476,Kastav,U kući,Jednoetažni,4-sobni,Prizemlje,95,https://www.njuskalo.hr/nekretnine/visokokvalitetan-4-soban-stan-bez-provizije-oglas-42197420,2,
116.300 €,45.828913221249,17.387374139762,Virovitica,U stambenoj zgradi,Jednoetažni,3-sobni,1.,58,https://www.njuskalo.hr/nekretnine/stan-virovitica-53.00-m2-novogradnja-oglas-33322617,1,1
93.920 €,45.828913221249,17.387374139762,Virovitica,U stambenoj zgradi,Jednoetažni,2-sobni,1.,46,https://www.njuskalo.hr/nekretnine/stan-virovitica-65.00-m2-novogradnja-oglas-33322430,1,1
225.000 €,44.822918510713095,13.875947491190976,Medulin,U stambenoj zgradi,Dvoetažni,2-sobni,Prizemlje,55,https://www.njuskalo.hr/nekretnine/stan-banjole-2-sobni-55-m2-oglas-41650588,1,
190.000 €,45.812465236645,15.979308550519,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,Garsonijera,1.,29,https://www.njuskalo.hr/nekretnine/stan-zagreb-dolac-30.00-m2-oglas-41425966,1,1
254.500 €,43.50969,16.50852,Split,U stambenoj zgradi,Jednoetažni,2-sobni,4.,81,https://www.njuskalo.hr/nekretnine/split-dvosoban-stan-78-m2-sirobuja-oglas-41062081,2,1
