linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1822,197.000 €,45.772566533684,15.984434036432,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,62,https://www.njuskalo.hr/nekretnine/stan-sopot-62-m2-otvorenim-pogledom-park-oglas-41562769,,
1823,350.000 €,45.809030919928,15.98199998339,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,4.,111,https://www.njuskalo.hr/nekretnine/zagreb-centar-111m2-oglas-41386610,1,1
1824,125.000 €,45.744758600776,15.938461679232,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,1.,90,https://www.njuskalo.hr/nekretnine/zagreb-botinec-dvoetazni-stan-155m2-oglas-41325739,,
1825,215.000 €,45.789359919827,15.951238672222,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,70,https://www.njuskalo.hr/nekretnine/stan-zagreb-knezija-70.00-m2-oglas-38433984,1,1
1826,200.000 €,45.797361054291,16.005189289256,Trnje,U stambenoj zgradi,Jednoetažni,2-sobni,1.,65,https://www.njuskalo.hr/nekretnine/stan-sigecica-65.00-m2-oglas-41683513,1,
1827,190.000 €,45.762108584052,15.999906469957,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,3-sobni,8.,62,https://www.njuskalo.hr/nekretnine/zagreb-dugave-62.12-m2-oglas-41675022,1,
1828,199.000 €,45.77705343068607,15.98257369174496,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,3-sobni,8.,71,https://www.njuskalo.hr/nekretnine/stan-zagreb-sopot-71.00-m2-oglas-41473353,1,1
1829,129.000 €,45.79803193738,16.001088917814,Trnje,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,56,https://www.njuskalo.hr/nekretnine/zagreb-sigecica-3-soban-stan-45.07-m2-visoko-prizemlje-22-m2-podrum-oglas-42266609,,
1830,98.000 €,45.809595360911,16.018414174515,Peščenica - Žitnjak,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,40,https://www.njuskalo.hr/nekretnine/zagreb-volovcica-40m2-db-ss-oglas-41985754,1,1
1831,190.000 €,45.819223134795,16.178967772563,Sesvete,U stambenoj zgradi,Jednoetažni,3-sobni,1.,70,https://www.njuskalo.hr/nekretnine/zagreb-sesvete-stan-70m2-novogradnja-parkingom-oglas-41783673,2,
1832,158.400 €,45.80852118477,15.980394257529,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,44,https://www.njuskalo.hr/nekretnine/stan-donji-grad-44-m2-parkingom-oglas-41569921,,
1833,80.000 €,45.810491752763,15.980801651008,Donji Grad,U stambenoj zgradi,Jednoetažni,1-sobni,Suteren,26,https://www.njuskalo.hr/nekretnine/zagreb-centar-36m2-500m-trga-oglas-41518006,1,
1834,480.000 €,45.8632517,15.9859741,Maksimir,U stambenoj zgradi,Dvoetažni,5+ sobni,Prizemlje,134,https://www.njuskalo.hr/nekretnine/remete-stan-luksuznoj-urbanoj-vili-bliznecu-oglas-42251104,2,2
1835,500.000 €,45.8632517,15.9859741,Maksimir,U stambenoj zgradi,Dvoetažni,4-sobni,Prizemlje,139,https://www.njuskalo.hr/nekretnine/remete-stan-luksuznoj-urbanoj-vili-bliznecu-oglas-42251102,2,2
1836,395.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,137,https://www.njuskalo.hr/nekretnine/jazbina-3s-stan-urbanoj-vili-oglas-42251101,2,
1837,575.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,200,https://www.njuskalo.hr/nekretnine/jazbina-4s-stan-urbanoj-vili-oglas-42251100,2,
1838,400.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,2.,150,https://www.njuskalo.hr/nekretnine/stan-prodaja-donji-grad-150m2-oglas-40421111,1,2
1839,170.000 €,,,Maksimir,U stambenoj zgradi,Dvoetažni,4-sobni,2.,85,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-parkirnim-mjestom-gospocak-remete-86-m2-oglas-40421054,1,1
1840,399.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,2.,183,https://www.njuskalo.hr/nekretnine/stan-centru-grada-183m2-oglas-40421013,2,2
1841,250.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,66,https://www.njuskalo.hr/nekretnine/dvosoban-stan-vrtom-mirnom-dijelu-maksimira-oglas-40421012,1,1
1842,184.000 €,45.819827,15.8454799,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,4-sobni,1.,95,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-96-m2-podsusedu-1950-m2-oglas-40420995,1,1
1843,159.000 €,45.819827,15.8454799,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,99,https://www.njuskalo.hr/nekretnine/trosoban-stan-99-m2-podsusedu-1650-m2-oglas-40420993,1,
1844,850.000 €,,,Maksimir,U stambenoj zgradi,Dvoetažni,4-sobni,5.,160,https://www.njuskalo.hr/nekretnine/maksimirska-penthouse-izgradnji-160-m2-oglas-40420984,2,
